,id,text
61,1539715377248215041,"June Kyle Schwarber is once again a thing. 👀

That's his 8th homer of the month. 💪 https://t.co/qwkFdWIji8"
62,1539713306709082112,"Sometimes, first base is scoring position. https://t.co/nOkAQJgejj"
63,1539709045841563650,"RT @PlayBall: Announcing the legendary lineup of @MLB greats &amp; softball superstars joining PLAY BALL PARK for MLB All-Star Week!⚾️🌟

Meet @…"
64,1539704985847480320,"This bat drop was cold. 

(MLB x @SportClips) https://t.co/BVOaUvYaza"
65,1539697491926552576,"RT @MLBTV: This series has been quite entertaining so far. 

Catch the 3rd game of @SFGiants - @Braves for FREE at 7:20 pm ET on #MLBTV pre…"
66,1539692215395565574,"Bo slam! 

(MLB x @DairyQueen) https://t.co/bt9g50wr0R"
67,1539690450206031873,Yordan is putting on a show! https://t.co/tt7J4IBqeI
68,1539689945614393346,RT @MLBPicks: Wednesday winners?! https://t.co/whr7UltRWD
69,1539687338355429376,"RT @MLBStats: The kid's got a cannon. 

(MLBStats x @GoogleCloud) https://t.co/PYm1MiHP4J"
70,1539685060617576448,"RT @BlueJays: Green Light = Time to LAUNCH 🚀 

⭐️  @alejandro_kirk ⭐️ https://t.co/41eZzBtOlA"
71,1539679230556086272,The @Astros offense is relentless. 🚀 https://t.co/gcUCfjbLWy
72,1539668681243987968,"All about that base.

(MLB x @googlecloud) https://t.co/UzGN5cTeyF"
73,1539663570362703872,"RT @MLBNetwork: More than a game ❤️⚾️

🎶 ""Reunited"" by @WuTangClan | #BlackMusicMonth | #WuTangWednesday https://t.co/IwVJSYoS75"
74,1539658356721602560,"Tight races at short. 

Who’s getting your vote ➡️ https://t.co/AOTyLAgDzZ https://t.co/Z16zZ4rumR"
75,1539653535364694017,"RT @Cut4: enjoy the j-rod show!

you know we had to give @JRODshow44 the BatCast™️ treatment 🔥 https://t.co/XphIli3oIP"
76,1539653407094591489,"RT @MLBVault: OTD 16 years ago, Miggy had no time for an intentional walk. https://t.co/lCfNI0Dkmc"
77,1539643572911210496,"RT @MLBStats: These guys hit rockets. 💪

(MLBStats x @GoogleCloud) https://t.co/NI9Wti0YVK"
78,1539633234904064007,"Oneil Cruz is not lacking confidence. 👀

(Via @TheAthleticMLB) https://t.co/wPKStZyqRF"
79,1539618626449334272,"RT @MLBPipeline: Who is your team's hottest hitting prospect?

https://t.co/8qgSHdJKUh https://t.co/JhEBLnqAxM"
80,1539616205014802432,RT @MLBPicks: You can never go wrong having Shohei in your @DraftKings lineup. 👀 https://t.co/KAAlYBmQyr
81,1539491861949304837,Enjoy all 54 homers on the night! https://t.co/i7cZePJ2cE
82,1539490840850141185,One of the craziest games of the year ends as a W for the @Royals. https://t.co/yOlia15zDE
